movieId;title;title_es;genres;genres;genres;genres;genres;LINK IMDB;LINK TMDBLD;rating;;
16;Casino (1995);Casino  (1995);Crime;Drama;;;;https://www.imdb.com/es-es/title/tt0112641;https://www.themoviedb.org/movie/524;3.9;;
17;Sense and Sensibility (1995);Sentido y sensibilidad  (1995);Drama;Romance;;;;https://www.imdb.com/es-es/title/tt0114388;https://www.themoviedb.org/movie/4584;3.8;;
18;Four Rooms (1995);Cuatro habitaciones  (1995);Comedy;;;;;https://www.imdb.com/es-es/title/tt0113101;https://www.themoviedb.org/movie/5;3.7;;
19;Ace Ventura: When Nature Calls (1995);Ace Ventura: cuando la naturaleza llama  (1995);Comedy;;;;;https://www.imdb.com/es-es/title/tt0112281;https://www.themoviedb.org/movie/9273;2.7;;
20;Money Train (1995);Tren de dinero  (1995);Action;Comedy;Crime;Drama;Thriller;https://www.imdb.com/es-es/title/tt0113845;https://www.themoviedb.org/movie/11517;2.5;;
21;Get Shorty (1995);Ponerse corto  (1995);Comedy;Crime;Thriller;;;https://www.imdb.com/es-es/title/tt0113161;https://www.themoviedb.org/movie/8012;3.5;;
22;Copycat (1995);Imitador  (1995);Crime;Drama;Horror;Mystery;Thriller;https://www.imdb.com/es-es/title/tt0112722;https://www.themoviedb.org/movie/1710;3.2;;
23;Assassins (1995);Asesino  (1995);Action;Crime;Thriller;;;https://www.imdb.com/es-es/title/tt0112401;https://www.themoviedb.org/movie/9691;3.1;;
24;Powder (1995);Polvo  (1995);Drama;Sci-Fi;;;;https://www.imdb.com/es-es/title/tt0114168;https://www.themoviedb.org/movie/12665;3.1;;
25;Leaving Las Vegas (1995);Dejando Las Vegas  (1995);Drama;Romance;;;;https://www.imdb.com/es-es/title/tt0113627;https://www.themoviedb.org/movie/451;3.6;;
26;Othello (1995);Othello  (1995);Drama;;;;;https://www.imdb.com/es-es/title/tt0114057;https://www.themoviedb.org/movie/16420;3.5;;
27;Now and Then (1995);De vez en cuando  (1995);Children;Drama;;;;https://www.imdb.com/es-es/title/tt0114011;https://www.themoviedb.org/movie/9263;3.3;;
28;Persuasion (1995);Persuasi¢n  (1995);Drama;Romance;;;;https://www.imdb.com/es-es/title/tt0114117;https://www.themoviedb.org/movie/17015;4.2;;
29;City of Lost Children. The (Cit«∏ des enfants perdus. La) (1995);;Adventure;Drama;Fantasy;Mystery;Sci-Fi;https://www.imdb.com/es-es/title/tt0112682;https://www.themoviedb.org/movie/902;4;;
30;Shanghai Triad (Yao a yao yao dao waipo qiao) (1995);Tr°ada de Shanghai  (Yao a yao yao dao waipo qiao) (1995);Crime;Drama;;;;https://www.imdb.com/es-es/title/tt0115012;https://www.themoviedb.org/movie/37557;3;;
31;Dangerous Minds (1995);Mentes peligrosas  (1995);Drama;;;;;https://www.imdb.com/es-es/title/tt0112792;https://www.themoviedb.org/movie/9909;3.2;;
32;Twelve Monkeys (a.k.a. 12 Monkeys) (1995);Doce monos  (a.k.a. 12 Monkeys) (1995);Mystery;Sci-Fi;Thriller;;;https://www.imdb.com/es-es/title/tt0114746;https://www.themoviedb.org/movie/63;4;;
34;Babe (1995);BebÇ  (1995);Children;Drama;;;;https://www.imdb.com/es-es/title/tt0112431;https://www.themoviedb.org/movie/9598;3.7;;
36;Dead Man Walking (1995);Hombre muerto caminando  (1995);Crime;Drama;;;;https://www.imdb.com/es-es/title/tt0112818;https://www.themoviedb.org/movie/687;3.8;;
38;It Takes Two (1995);Se necesitan dos  (1995);Children;Comedy;;;;https://www.imdb.com/es-es/title/tt0113442;https://www.themoviedb.org/movie/33689;2.1;;
39;Clueless (1995);Despistado  (1995);Comedy;Romance;;;;https://www.imdb.com/es-es/title/tt0112697;https://www.themoviedb.org/movie/9603;3.3;;
40;Cry. the Beloved Country (1995);;Drama;;;;;https://www.imdb.com/es-es/title/tt0112749;https://www.themoviedb.org/movie/34615;4.3;;
41;Richard III (1995);Richard III  (1995);Drama;War;;;;https://www.imdb.com/es-es/title/tt0114279;https://www.themoviedb.org/movie/31174;3.7;;
42;Dead Presidents (1995);Presidentes muertos  (1995);Action;Crime;Drama;;;https://www.imdb.com/es-es/title/tt0112819;https://www.themoviedb.org/movie/11443;3;;
43;Restoration (1995);Restauraci¢n  (1995);Drama;;;;;https://www.imdb.com/es-es/title/tt0114272;https://www.themoviedb.org/movie/35196;3.2;;
44;Mortal Kombat (1995);Kombat mortal  (1995);Action;Adventure;Fantasy;;;https://www.imdb.com/es-es/title/tt0113855;https://www.themoviedb.org/movie/9312;2.5;;
45;To Die For (1995);Morir por  (1995);Comedy;Drama;Thriller;;;https://www.imdb.com/es-es/title/tt0114681;https://www.themoviedb.org/movie/577;3.3;;
46;How to Make an American Quilt (1995);C¢mo hacer una colcha americana  (1995);Drama;Romance;;;;https://www.imdb.com/es-es/title/tt0113347;https://www.themoviedb.org/movie/11861;3.1;;
47;Seven (a.k.a. Se7en) (1995);Siete  (a.k.a. Se7en) (1995);Mystery;Thriller;;;;https://www.imdb.com/es-es/title/tt0114369;https://www.themoviedb.org/movie/807;4;;
48;Pocahontas (1995);Pocahontas  (1995);Animation;Children;Drama;Musical;Romance;https://www.imdb.com/es-es/title/tt0114148;https://www.themoviedb.org/movie/10530;3.1;;
49;When Night Is Falling (1995);Cuando cayera la noche  (1995);Drama;Romance;;;;https://www.imdb.com/es-es/title/tt0114916;https://www.themoviedb.org/movie/8391;3;;
50;Usual Suspects. The (1995);;Crime;Mystery;Thriller;;;https://www.imdb.com/es-es/title/tt0114814;https://www.themoviedb.org/movie/629;4.2;;
52;Mighty Aphrodite (1995);Poderoso afrodita  (1995);Comedy;Drama;Romance;;;https://www.imdb.com/es-es/title/tt0113819;https://www.themoviedb.org/movie/11448;3.5;;
53;Lamerica (1994);Lamerica  (1994);Adventure;Drama;;;;https://www.imdb.com/es-es/title/tt0110299;https://www.themoviedb.org/movie/49133;5;;
54;Big Green. The (1995);;Children;Comedy;;;;https://www.imdb.com/es-es/title/tt0112499;https://www.themoviedb.org/movie/26441;2.3;;
55;Georgia (1995);Georgia  (1995);Drama;;;;;https://www.imdb.com/es-es/title/tt0113158;https://www.themoviedb.org/movie/97406;4;;
57;Home for the Holidays (1995);Inicio para las vacaciones  (1995);Drama;;;;;https://www.imdb.com/es-es/title/tt0113321;https://www.themoviedb.org/movie/9089;3.1;;
58;Postman. The (Postino. Il) (1994);;Comedy;Drama;Romance;;;https://www.imdb.com/es-es/title/tt0110877;https://www.themoviedb.org/movie/11010;4;;
60;Indian in the Cupboard. The (1995);;Adventure;Children;Fantasy;;;https://www.imdb.com/es-es/title/tt0113419;https://www.themoviedb.org/movie/11359;3.2;;
61;Eye for an Eye (1996);Ojo por ojo  (1996);Drama;Thriller;;;;https://www.imdb.com/es-es/title/tt0116260;https://www.themoviedb.org/movie/17182;3.8;;
62;Mr. Holland's Opus (1995);Opus del Sr. Holanda  (1995);Drama;;;;;https://www.imdb.com/es-es/title/tt0113862;https://www.themoviedb.org/movie/2054;3.7;;
63;Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996);No seas una amenaza para South Central mientras bebes tu jugo en el cap¢  (1996);Comedy;Crime;;;;https://www.imdb.com/es-es/title/tt0116126;https://www.themoviedb.org/movie/10607;2.7;;
64;Two if by Sea (1996);Dos si por mar  (1996);Comedy;Romance;;;;https://www.imdb.com/es-es/title/tt0118002;https://www.themoviedb.org/movie/19760;2.2;;
65;Bio-Dome (1996);Bio-domo  (1996);Comedy;;;;;https://www.imdb.com/es-es/title/tt0115683;https://www.themoviedb.org/movie/9536;2.5;;
66;Lawnmower Man 2: Beyond Cyberspace (1996);CÇsped de cÇsped 2: m†s all† del ciberespacio  (1996);Action;Sci-Fi;Thriller;;;https://www.imdb.com/es-es/title/tt0116839;https://www.themoviedb.org/movie/11525;2.5;;
68;French Twist (Gazon maudit) (1995);Giro francÇs  (Gazon maudit) (1995);Comedy;Romance;;;;https://www.imdb.com/es-es/title/tt0113149;https://www.themoviedb.org/movie/4482;3.4;;
69;Friday (1995);Viernes  (1995);Comedy;;;;;https://www.imdb.com/es-es/title/tt0113118;https://www.themoviedb.org/movie/10634;3.8;;
70;From Dusk Till Dawn (1996);Desde el anochecer hasta el amanecer  (1996);Action;Comedy;Horror;Thriller;;https://www.imdb.com/es-es/title/tt0116367;https://www.themoviedb.org/movie/755;3.5;;
71;Fair Game (1995);Juego justo  (1995);Action;;;;;https://www.imdb.com/es-es/title/tt0113010;https://www.themoviedb.org/movie/11859;1.7;;
72;Kicking and Screaming (1995);Pateando y gritando  (1995);Comedy;Drama;;;;https://www.imdb.com/es-es/title/tt0113537;https://www.themoviedb.org/movie/28387;3.2;;
73;Mis«∏rables. Les (1995);;Drama;War;;;;https://www.imdb.com/es-es/title/tt0113828;https://www.themoviedb.org/movie/48750;3.5;;
74;Bed of Roses (1996);Cama de rosas  (1996);Drama;Romance;;;;https://www.imdb.com/es-es/title/tt0115644;https://www.themoviedb.org/movie/20927;4;;
75;Big Bully (1996);Big Bully  (1996);Comedy;Drama;;;;https://www.imdb.com/es-es/title/tt0115676;https://www.themoviedb.org/movie/36929;2.2;;
76;Screamers (1995);Gritos  (1995);Action;Sci-Fi;Thriller;;;https://www.imdb.com/es-es/title/tt0114367;https://www.themoviedb.org/movie/9102;3.4;;
77;Nico Icon (1995);Icono de Nico  (1995);Documentary;;;;;https://www.imdb.com/es-es/title/tt0113973;https://www.themoviedb.org/movie/124626;4;;
78;Crossing Guard. The (1995);;Action;Crime;Drama;Thriller;;https://www.imdb.com/es-es/title/tt0112744;https://www.themoviedb.org/movie/27526;3.3;;
79;Juror. The (1996);;Drama;Thriller;;;;https://www.imdb.com/es-es/title/tt0116731;https://www.themoviedb.org/movie/9623;2.8;;
80;White Balloon. The (Badkonake sefid) (1995);;Children;Drama;;;;https://www.imdb.com/es-es/title/tt0112445;https://www.themoviedb.org/movie/46785;4;;
81;Things to Do in Denver When You're Dead (1995);Cosas que hacer en Denver cuando est†s muerto  (1995);Crime;Drama;Romance;;;https://www.imdb.com/es-es/title/tt0114660;https://www.themoviedb.org/movie/400;3.1;;
82;Antonia's Line (Antonia) (1995);L°nea de Antonia  (Antonia) (1995);Comedy;Drama;;;;https://www.imdb.com/es-es/title/tt0112379;https://www.themoviedb.org/movie/880;3.9;;
83;Once Upon a Time... When We Were Colored (1995);êrase una vez ... cuando est†bamos coloreados  (1995);Drama;Romance;;;;https://www.imdb.com/es-es/title/tt0114039;https://www.themoviedb.org/movie/146599;3;;
85;Angels and Insects (1995);µngeles e insectos  (1995);Drama;Romance;;;;https://www.imdb.com/es-es/title/tt0112365;https://www.themoviedb.org/movie/8447;3.9;;
86;White Squall (1996);Chubascas blancas  (1996);Action;Adventure;Drama;;;https://www.imdb.com/es-es/title/tt0118158;https://www.themoviedb.org/movie/10534;4;;
87;Dunston Checks In (1996);Dunston se registra  (1996);Children;Comedy;;;;https://www.imdb.com/es-es/title/tt0116151;https://www.themoviedb.org/movie/17414;2.5;;
88;Black Sheep (1996);Oveja negra  (1996);Comedy;;;;;https://www.imdb.com/es-es/title/tt0115697;https://www.themoviedb.org/movie/13997;3.2;;
89;Nick of Time (1995);El tiempo de tiempo  (1995);Action;Thriller;;;;https://www.imdb.com/es-es/title/tt0113972;https://www.themoviedb.org/movie/2086;3.3;;
92;Mary Reilly (1996);Mar°a Reilly  (1996);Drama;Horror;Thriller;;;https://www.imdb.com/es-es/title/tt0117002;https://www.themoviedb.org/movie/9095;2.6;;
93;Vampire in Brooklyn (1995);Vampiro en Brooklyn  (1995);Comedy;Horror;Romance;;;https://www.imdb.com/es-es/title/tt0114825;https://www.themoviedb.org/movie/12158;2.8;;
94;Beautiful Girls (1996);Hermosas chicas  (1996);Comedy;Drama;Romance;;;https://www.imdb.com/es-es/title/tt0115639;https://www.themoviedb.org/movie/9283;4;;
95;Broken Arrow (1996);Flecha rota  (1996);Action;Adventure;Thriller;;;https://www.imdb.com/es-es/title/tt0115759;https://www.themoviedb.org/movie/9208;3;;
96;In the Bleak Midwinter (1995);En el malvado maldito  (1995);Comedy;Drama;;;;https://www.imdb.com/es-es/title/tt0113403;https://www.themoviedb.org/movie/40154;3.5;;
97;Hate (Haine. La) (1995);;Crime;Drama;;;;https://www.imdb.com/es-es/title/tt0113247;https://www.themoviedb.org/movie/406;3.9;;
99;Heidi Fleiss: Hollywood Madam (1995);Heidi Fleiss: Se§ora de Hollywood  (1995);Documentary;;;;;https://www.imdb.com/es-es/title/tt0113283;https://www.themoviedb.org/movie/63076;5;;
100;City Hall (1996);Ayuntamiento  (1996);Drama;Thriller;;;;https://www.imdb.com/es-es/title/tt0115907;https://www.themoviedb.org/movie/11062;2.8;;
101;Bottle Rocket (1996);Cohete de botella  (1996);Adventure;Comedy;Crime;Romance;;https://www.imdb.com/es-es/title/tt0115734;https://www.themoviedb.org/movie/13685;3.8;;
102;Mr. Wrong (1996);Sr. mal  (1996);Comedy;;;;;https://www.imdb.com/es-es/title/tt0117102;https://www.themoviedb.org/movie/47475;2.4;;
103;Unforgettable (1996);Inolvidable  (1996);Mystery;Sci-Fi;Thriller;;;https://www.imdb.com/es-es/title/tt0118040;https://www.themoviedb.org/movie/2045;3;;
104;Happy Gilmore (1996);Feliz Gilmore  (1996);Comedy;;;;;https://www.imdb.com/es-es/title/tt0116483;https://www.themoviedb.org/movie/9614;3.4;;
105;Bridges of Madison County. The (1995);;Drama;Romance;;;;https://www.imdb.com/es-es/title/tt0112579;https://www.themoviedb.org/movie/688;3.3;;
106;Nobody Loves Me (Keiner liebt mich) (1994);Nadie me ama  (Keiner liebt mich) (1994);Comedy;Drama;;;;https://www.imdb.com/es-es/title/tt0110251;https://www.themoviedb.org/movie/11907;4;;
107;Muppet Treasure Island (1996);Muppet Treasure Island  (1996);Adventure;Children;Comedy;Musical;;https://www.imdb.com/es-es/title/tt0117110;https://www.themoviedb.org/movie/10874;3.3;;
108;Catwalk (1996);Pasadizo  (1996);Documentary;;;;;https://www.imdb.com/es-es/title/tt0112646;https://www.themoviedb.org/movie/89333;4;;
110;Braveheart (1995);Coraz¢n Valiente  (1995);Action;Drama;War;;;https://www.imdb.com/es-es/title/tt0112573;https://www.themoviedb.org/movie/197;4;;
111;Taxi Driver (1976);Taxista  (1976);Crime;Drama;Thriller;;;https://www.imdb.com/es-es/title/tt075314;https://www.themoviedb.org/movie/103;4.1;;
112;Rumble in the Bronx (Hont faan kui) (1995);Rumble en el Bronx  (Hont faan kui) (1995);Action;Adventure;Comedy;Crime;;https://www.imdb.com/es-es/title/tt0113326;https://www.themoviedb.org/movie/33542;3.5;;
113;Before and After (1996);Antes y despuÇs  (1996);Drama;Mystery;;;;https://www.imdb.com/es-es/title/tt0115645;https://www.themoviedb.org/movie/43566;3.3;;
116;Anne Frank Remembered (1995);Anne Frank record¢  (1995);Documentary;;;;;https://www.imdb.com/es-es/title/tt0112373;https://www.themoviedb.org/movie/51352;3.9;;
117;Young Poisoner's Handbook. The (1995);;Crime;Drama;;;;https://www.imdb.com/es-es/title/tt0115033;https://www.themoviedb.org/movie/16934;3;;
118;If Lucy Fell (1996);Si Lucy cayera  (1996);Comedy;Romance;;;;https://www.imdb.com/es-es/title/tt0116606;https://www.themoviedb.org/movie/10324;2.5;;
119;Steal Big. Steal Little (1995);;Comedy;;;;;https://www.imdb.com/es-es/title/tt0114536;https://www.themoviedb.org/movie/78406;3;;
121;Boys of St. Vincent. The (1992);;Drama;;;;;https://www.imdb.com/es-es/title/tt0106473;https://www.themoviedb.org/movie/32119;4;;
122;Boomerang (1992);Bumerang  (1992);Comedy;Romance;;;;https://www.imdb.com/es-es/title/tt0103859;https://www.themoviedb.org/movie/11066;2.7;;
123;Chungking Express (Chung Hing sam lam) (1994);Chungking Express  (Chung Hing sam lam) (1994);Drama;Mystery;Romance;;;https://www.imdb.com/es-es/title/tt0109424;https://www.themoviedb.org/movie/11104;4.4;;
125;Flirting With Disaster (1996);Coqueteo con desastre  (1996);Comedy;;;;;https://www.imdb.com/es-es/title/tt0116324;https://www.themoviedb.org/movie/2074;3.6;;
126;NeverEnding Story III. The (1994);;Adventure;Children;Fantasy;;;https://www.imdb.com/es-es/title/tt0110647;https://www.themoviedb.org/movie/27793;2;;
128;Jupiter's Wife (1994);La esposa de J£piter  (1994);Documentary;;;;;https://www.imdb.com/es-es/title/tt0110217;https://www.themoviedb.org/movie/290157;3;;
129;Pie in the Sky (1996);Pastel en el cielo  (1996);Comedy;Romance;;;;https://www.imdb.com/es-es/title/tt0114131;https://www.themoviedb.org/movie/110972;2;;
132;Jade (1995);Jade  (1995);Thriller;;;;;https://www.imdb.com/es-es/title/tt0113451;https://www.themoviedb.org/movie/11863;2.8;;
135;Down Periscope (1996);Periscopio  (1996);Comedy;;;;;https://www.imdb.com/es-es/title/tt0116130;https://www.themoviedb.org/movie/9101;3;;
137;Man of the Year (1995);Hombre del a§o  (1995);Documentary;;;;;https://www.imdb.com/es-es/title/tt0113756;https://www.themoviedb.org/movie/5757;3;;
140;Up Close and Personal (1996);De cerca y personal  (1996);Drama;Romance;;;;https://www.imdb.com/es-es/title/tt0118055;https://www.themoviedb.org/movie/9302;3.5;;
141;Birdcage. The (1996);;Comedy;;;;;https://www.imdb.com/es-es/title/tt0115685;https://www.themoviedb.org/movie/11000;3.5;;
144;Brothers McMullen. The (1995);;Comedy;;;;;https://www.imdb.com/es-es/title/tt0112585;https://www.themoviedb.org/movie/16388;3.3;;
145;Bad Boys (1995);Chicos malos  (1995);Action;Comedy;Crime;Drama;Thriller;https://www.imdb.com/es-es/title/tt0112442;https://www.themoviedb.org/movie/9737;3.2;;
146;Amazing Panda Adventure. The (1995);;Adventure;Children;;;;https://www.imdb.com/es-es/title/tt0112342;https://www.themoviedb.org/movie/30765;3.3;;
147;Basketball Diaries. The (1995);;Drama;;;;;https://www.imdb.com/es-es/title/tt0112461;https://www.themoviedb.org/movie/10474;3.5;;
148;Awfully Big Adventure. An (1995);;Drama;;;;;https://www.imdb.com/es-es/title/tt0112427;https://www.themoviedb.org/movie/22279;5;;
149;Amateur (1994);Aficionado  (1994);Crime;Drama;Thriller;;;https://www.imdb.com/es-es/title/tt0109093;https://www.themoviedb.org/movie/30157;2;;
150;Apollo 13 (1995);Apolo 13  (1995);Adventure;Drama;IMAX;;;https://www.imdb.com/es-es/title/tt0112384;https://www.themoviedb.org/movie/568;3.8;;
151;Rob Roy (1995);Rob Roy  (1995);Action;Drama;Romance;War;;https://www.imdb.com/es-es/title/tt0114287;https://www.themoviedb.org/movie/11780;3.5;;
152;Addiction. The (1995);;Drama;Horror;;;;https://www.imdb.com/es-es/title/tt0112288;https://www.themoviedb.org/movie/34996;1.5;;
153;Batman Forever (1995);Batman para siempre  (1995);Action;Adventure;Comedy;Crime;;https://www.imdb.com/es-es/title/tt0112462;https://www.themoviedb.org/movie/414;2.9;;
154;Beauty of the Day (Belle de jour) (1967);Belleza del d°a  (Belle de jour) (1967);Drama;;;;;https://www.imdb.com/es-es/title/tt061395;https://www.themoviedb.org/movie/649;3.9;;
155;Beyond Rangoon (1995);M†s all† de Rangoon  (1995);Adventure;Drama;War;;;https://www.imdb.com/es-es/title/tt0112495;https://www.themoviedb.org/movie/1873;2.4;;
156;Blue in the Face (1995);Azul en la cara  (1995);Comedy;Drama;;;;https://www.imdb.com/es-es/title/tt0112541;https://www.themoviedb.org/movie/5894;3.3;;
157;Canadian Bacon (1995);Tocino canadiense  (1995);Comedy;War;;;;https://www.imdb.com/es-es/title/tt0109370;https://www.themoviedb.org/movie/1775;2.9;;
158;Casper (1995);Casper  (1995);Adventure;Children;;;;https://www.imdb.com/es-es/title/tt0112642;https://www.themoviedb.org/movie/8839;2.8;;
159;Clockers (1995);Mechones  (1995);Crime;Drama;Mystery;;;https://www.imdb.com/es-es/title/tt0112688;https://www.themoviedb.org/movie/20649;2.9;;
160;Congo (1995);Congo  (1995);Action;Adventure;Mystery;Sci-Fi;;https://www.imdb.com/es-es/title/tt0112715;https://www.themoviedb.org/movie/10329;2.9;;
161;Crimson Tide (1995);Marea carmes°  (1995);Drama;Thriller;War;;;https://www.imdb.com/es-es/title/tt0112740;https://www.themoviedb.org/movie/8963;3.6;;
162;Crumb (1994);Miga  (1994);Documentary;;;;;https://www.imdb.com/es-es/title/tt0109508;https://www.themoviedb.org/movie/26564;4.2;;
163;Desperado (1995);Forajido  (1995);Action;Romance;Western;;;https://www.imdb.com/es-es/title/tt0112851;https://www.themoviedb.org/movie/8068;3.6;;
164;Devil in a Blue Dress (1995);Diablo con un vestido azul  (1995);Crime;Film-Noir;Mystery;Thriller;;https://www.imdb.com/es-es/title/tt0112857;https://www.themoviedb.org/movie/8512;3.3;;
165;Die Hard: With a Vengeance (1995);Die duro: con venganza  (1995);Action;Crime;Thriller;;;https://www.imdb.com/es-es/title/tt0112864;https://www.themoviedb.org/movie/1572;3.6;;
166;Doom Generation. The (1995);;Comedy;Crime;Drama;;;https://www.imdb.com/es-es/title/tt0112887;https://www.themoviedb.org/movie/13552;2.8;;
168;First Knight (1995);Primer caballero  (1995);Action;Drama;Romance;;;https://www.imdb.com/es-es/title/tt0113071;https://www.themoviedb.org/movie/6520;3.1;;
169;Free Willy 2: The Adventure Home (1995);Free Willy 2: The Adventure Home  (1995);Adventure;Children;Drama;;;https://www.imdb.com/es-es/title/tt0113114;https://www.themoviedb.org/movie/9073;2.4;;
170;Hackers (1995);Hackers  (1995);Action;Adventure;Crime;Thriller;;https://www.imdb.com/es-es/title/tt0113243;https://www.themoviedb.org/movie/10428;3.2;;
171;Jeffrey (1995);Jeffrey  (1995);Comedy;Drama;;;;https://www.imdb.com/es-es/title/tt0113464;https://www.themoviedb.org/movie/17447;3.8;;
172;Johnny Mnemonic (1995);Johnny Mnemonic  (1995);Action;Sci-Fi;Thriller;;;https://www.imdb.com/es-es/title/tt0113481;https://www.themoviedb.org/movie/9886;2.7;;
173;Judge Dredd (1995);Juez Dredd  (1995);Action;Crime;Sci-Fi;;;https://www.imdb.com/es-es/title/tt0113492;https://www.themoviedb.org/movie/9482;2.7;;
174;Jury Duty (1995);Deber jurado  (1995);Comedy;;;;;https://www.imdb.com/es-es/title/tt0113500;https://www.themoviedb.org/movie/19326;2.7;;
175;Kids (1995);Ni§os  (1995);Drama;;;;;https://www.imdb.com/es-es/title/tt0113540;https://www.themoviedb.org/movie/9344;4;;
176;Living in Oblivion (1995);Viviendo en el olvido  (1995);Comedy;;;;;https://www.imdb.com/es-es/title/tt0113677;https://www.themoviedb.org/movie/9071;4.3;;
177;Lord of Illusions (1995);Se§or de las ilusiones  (1995);Horror;;;;;https://www.imdb.com/es-es/title/tt0113690;https://www.themoviedb.org/movie/8973;2.8;;
178;Love & Human Remains (1993);Amor y restos humanos  (1993);Comedy;Drama;;;;https://www.imdb.com/es-es/title/tt0107447;https://www.themoviedb.org/movie/15730;1;;
179;Mad Love (1995);Amor loco  (1995);Drama;Romance;;;;https://www.imdb.com/es-es/title/tt0113729;https://www.themoviedb.org/movie/47608;1.5;;
180;Mallrats (1995);Mallrats  (1995);Comedy;Romance;;;;https://www.imdb.com/es-es/title/tt0113749;https://www.themoviedb.org/movie/2293;3.4;;
181;Mighty Morphin Power Rangers: The Movie (1995);Mighty Morphin Power Rangers: The Movie  (1995);Action;Children;;;;https://www.imdb.com/es-es/title/tt0113820;https://www.themoviedb.org/movie/9070;2.3;;
183;Mute Witness (1994);Testigo mudo  (1994);Comedy;Horror;Thriller;;;https://www.imdb.com/es-es/title/tt0110604;https://www.themoviedb.org/movie/48787;3.5;;
184;Nadja (1994);Nadja  (1994);Drama;;;;;https://www.imdb.com/es-es/title/tt0110620;https://www.themoviedb.org/movie/34574;3.5;;
185;Net. The (1995);;Action;Crime;Thriller;;;https://www.imdb.com/es-es/title/tt0113957;https://www.themoviedb.org/movie/1642;3;;
186;Nine Months (1995);Nueve meses  (1995);Comedy;Romance;;;;https://www.imdb.com/es-es/title/tt0113986;https://www.themoviedb.org/movie/11472;2.8;;
187;Party Girl (1995);Chica de fiesta  (1995);Comedy;;;;;https://www.imdb.com/es-es/title/tt0114095;https://www.themoviedb.org/movie/36196;4.1;;
188;Prophecy. The (1995);;Fantasy;Horror;Mystery;;;https://www.imdb.com/es-es/title/tt0114194;https://www.themoviedb.org/movie/11980;3.5;;
189;Reckless (1995);Imprudente  (1995);Comedy;Fantasy;;;;https://www.imdb.com/es-es/title/tt0114241;https://www.themoviedb.org/movie/58372;3;;
190;Safe (1995);Seguro  (1995);Thriller;;;;;https://www.imdb.com/es-es/title/tt0114323;https://www.themoviedb.org/movie/32646;2.8;;
191;Scarlet Letter. The (1995);;Drama;Romance;;;;https://www.imdb.com/es-es/title/tt0114345;https://www.themoviedb.org/movie/10533;2.4;;
193;Showgirls (1995);Showgirls  (1995);Drama;;;;;https://www.imdb.com/es-es/title/tt0114436;https://www.themoviedb.org/movie/10802;2.5;;
194;Smoke (1995);Fumar  (1995);Comedy;Drama;;;;https://www.imdb.com/es-es/title/tt0114478;https://www.themoviedb.org/movie/10149;3.7;;
